ts,vx,vy,wz,state,t
1772875647.2272797,-0.023,0.184,0.339,NAVIGATE,0.0
1772875647.327129,-0.024,0.184,0.34,NAVIGATE,0.09984922409057617
1772875647.4279013,-0.022,0.184,0.338,NAVIGATE,0.2006216049194336
1772875647.5273385,-0.02,0.185,0.336,NAVIGATE,0.30005884170532227
1772875647.6270027,-0.017,0.185,0.333,NAVIGATE,0.3997230529785156
1772875647.7271693,-0.014,0.185,0.329,NAVIGATE,0.499889612197876
1772875647.8279357,-0.014,0.185,0.33,NAVIGATE,0.6006560325622559
1772875647.9268563,-0.018,0.185,0.333,NAVIGATE,0.6995766162872314
1772875648.0273557,-0.021,0.185,0.337,NAVIGATE,0.8000760078430176
1772875648.1277237,-0.022,0.185,0.338,NAVIGATE,0.9004440307617188
1772875648.2274165,-0.022,0.185,0.338,NAVIGATE,1.0001368522644043
1772875648.3278346,-0.021,0.185,0.337,NAVIGATE,1.1005549430847168
1772875648.427518,-0.018,0.186,0.333,NAVIGATE,1.2002382278442383
1772875648.526738,-0.012,0.186,0.327,NAVIGATE,1.2994582653045654
1772875648.6276476,-0.007,0.187,0.322,NAVIGATE,1.4003679752349854
1772875648.7281098,-0.003,0.188,0.318,NAVIGATE,1.5008301734924316
1772875648.8283083,-0.002,0.188,0.316,NAVIGATE,1.6010286808013916
1772875648.927462,-0.003,0.187,0.318,NAVIGATE,1.7001824378967285
1772875649.0267684,-0.005,0.186,0.319,NAVIGATE,1.7994887828826904
1772875649.1275246,-0.008,0.185,0.322,NAVIGATE,1.900244951248169
1772875649.226665,-0.01,0.184,0.325,NAVIGATE,1.9993853569030762
1772875649.327085,-0.011,0.183,0.326,NAVIGATE,2.0998053550720215
1772875649.426939,-0.013,0.182,0.329,NAVIGATE,2.1996593475341797
1772875649.5268874,-0.015,0.181,0.33,NAVIGATE,2.299607753753662
1772875649.6292112,-0.014,0.18,0.33,NAVIGATE,2.4019315242767334
1772875649.7272666,-0.015,0.179,0.331,NAVIGATE,2.4999868869781494
1772875649.8278427,-0.016,0.178,0.332,NAVIGATE,2.6005630493164062
1772875649.926796,-0.018,0.177,0.334,NAVIGATE,2.6995162963867188
1772875650.026911,-0.019,0.175,0.336,NAVIGATE,2.799631357192993
1772875650.1268635,-0.02,0.175,0.337,NAVIGATE,2.8995838165283203
1772875650.2271225,-0.022,0.174,0.339,NAVIGATE,2.999842882156372
1772875650.3283513,-0.024,0.173,0.342,NAVIGATE,3.10107159614563
1772875650.427355,-0.027,0.172,0.346,NAVIGATE,3.200075387954712
1772875650.527585,-0.03,0.171,0.349,NAVIGATE,3.3003053665161133
1772875650.6270561,-0.034,0.169,0.353,NAVIGATE,3.3997764587402344
1772875650.7273278,-0.038,0.167,0.358,NAVIGATE,3.5000481605529785
1772875650.8274639,-0.04,0.166,0.361,NAVIGATE,3.600184202194214
1772875650.9277651,-0.039,0.166,0.361,NAVIGATE,3.7004854679107666
1772875651.0268106,-0.038,0.166,0.36,NAVIGATE,3.7995309829711914
1772875651.127548,-0.038,0.165,0.36,NAVIGATE,3.900268316268921
1772875651.2272646,-0.04,0.164,0.362,NAVIGATE,3.9999849796295166
1772875651.3283787,-0.04,0.164,0.362,NAVIGATE,4.101099014282227
1772875651.4270434,-0.039,0.163,0.361,NAVIGATE,4.199763774871826
1772875651.5266948,-0.036,0.163,0.358,NAVIGATE,4.299415111541748
1772875651.6275713,-0.034,0.164,0.355,NAVIGATE,4.400291681289673
1772875651.7281954,-0.033,0.163,0.355,NAVIGATE,4.500915765762329
1772875651.8268244,-0.036,0.162,0.358,NAVIGATE,4.5995447635650635
1772875651.9269686,-0.04,0.16,0.363,NAVIGATE,4.699688911437988
1772875652.027585,-0.04,0.16,0.363,NAVIGATE,4.800305366516113
1772875652.1281962,-0.038,0.161,0.361,NAVIGATE,4.900916576385498
1772875652.2271528,-0.037,0.161,0.36,NAVIGATE,4.999873161315918
1772875652.3267488,-0.036,0.161,0.358,NAVIGATE,5.099469184875488
1772875652.4269068,-0.036,0.161,0.358,NAVIGATE,5.199627161026001
1772875652.5274992,-0.035,0.16,0.357,NAVIGATE,5.300219535827637
1772875652.6278071,-0.036,0.16,0.358,NAVIGATE,5.400527477264404
1772875652.728428,-0.038,0.158,0.361,NAVIGATE,5.501148223876953
1772875652.827212,-0.04,0.157,0.364,NAVIGATE,5.599932432174683
1772875652.9273822,-0.043,0.156,0.368,NAVIGATE,5.7001025676727295
1772875653.027881,-0.044,0.155,0.369,NAVIGATE,5.800601243972778
1772875653.1273127,-0.044,0.154,0.37,NAVIGATE,5.900032997131348
1772875653.2284086,-0.048,0.153,0.375,NAVIGATE,6.001128911972046
1772875653.3268962,-0.051,0.151,0.379,NAVIGATE,6.099616527557373
1772875653.4277544,-0.052,0.15,0.381,NAVIGATE,6.200474739074707
1772875653.5267968,-0.052,0.15,0.381,NAVIGATE,6.2995171546936035
1772875653.6273735,-0.051,0.151,0.379,NAVIGATE,6.4000937938690186
1772875653.7288184,-0.049,0.152,0.377,NAVIGATE,6.5015387535095215
1772875653.8276818,-0.049,0.152,0.377,NAVIGATE,6.600402116775513
1772875653.9268587,-0.052,0.151,0.381,NAVIGATE,6.6995790004730225
1772875654.0288944,-0.056,0.149,0.386,NAVIGATE,6.801614761352539
1772875654.1274035,-0.06,0.147,0.391,NAVIGATE,6.900123834609985
1772875654.2268121,-0.063,0.145,0.396,NAVIGATE,6.999532461166382
1772875654.3290772,-0.065,0.144,0.399,NAVIGATE,7.101797580718994
1772875654.427251,-0.069,0.142,0.404,NAVIGATE,7.199971437454224
1772875654.5270357,-0.073,0.139,0.411,NAVIGATE,7.299756050109863
1772875654.627739,-0.078,0.137,0.418,NAVIGATE,7.400459289550781
1772875654.7270825,-0.081,0.134,0.423,NAVIGATE,7.499802827835083
1772875654.8273966,-0.085,0.132,0.429,NAVIGATE,7.600116968154907
1772875654.9273133,-0.088,0.13,0.434,NAVIGATE,7.700033664703369
1772875655.0269732,-0.091,0.128,0.437,NAVIGATE,7.799693584442139
