ts,x,y,yaw,t
1772875635.523944,1.259,1.02,0.638,0.0
1772875635.6241488,1.259,1.02,0.646,0.1002049446105957
1772875635.7238545,1.263,1.025,0.669,0.19991064071655273
1772875635.8244317,1.264,1.024,0.705,0.300487756729126
1772875635.9243891,1.265,1.026,0.733,0.40044522285461426
1772875636.0239408,1.265,1.023,0.753,0.4999969005584717
1772875636.1253262,1.266,1.029,0.76,0.6013822555541992
1772875636.224116,1.267,1.033,0.759,0.7001721858978271
1772875636.3239536,1.268,1.034,0.74,0.8000097274780273
1772875636.424036,1.271,1.04,0.721,0.9000921249389648
1772875636.5238268,1.274,1.044,0.705,0.9998829364776611
1772875636.6241763,1.278,1.046,0.696,1.1002323627471924
1772875636.7238967,1.279,1.05,0.701,1.1999528408050537
1772875636.823899,1.28,1.055,0.717,1.299955129623413
1772875636.9239726,1.283,1.062,0.734,1.4000287055969238
1772875637.0249882,1.283,1.064,0.741,1.5010442733764648
1772875637.1264613,1.285,1.066,0.734,1.6025173664093018
1772875637.2240033,1.288,1.074,0.719,1.700059413909912
1772875637.3243797,1.289,1.076,0.713,1.8004357814788818
1772875637.4240606,1.29,1.079,0.7,1.9001166820526123
1772875637.5241277,1.29,1.082,0.688,2.0001838207244873
1772875637.6239345,1.29,1.081,0.68,2.0999906063079834
1772875637.7241378,1.293,1.082,0.67,2.2001938819885254
1772875637.8239694,1.294,1.081,0.674,2.300025463104248
1772875637.9245229,1.295,1.081,0.688,2.4005789756774902
1772875638.0240116,1.298,1.079,0.707,2.500067710876465
1772875638.1241393,1.298,1.079,0.728,2.6001954078674316
1772875638.224023,1.301,1.085,0.744,2.7000792026519775
1772875638.3239703,1.301,1.088,0.751,2.8000264167785645
1772875638.4241476,1.303,1.095,0.746,2.9002037048339844
1772875638.5242152,1.303,1.097,0.733,3.0002713203430176
1772875638.6257255,1.304,1.102,0.715,3.1017816066741943
1772875638.724958,1.306,1.101,0.703,3.2010140419006348
1772875638.824448,1.307,1.101,0.707,3.300504207611084
1772875638.9241657,1.308,1.101,0.717,3.400221824645996
1772875639.0240111,1.309,1.107,0.737,3.5000672340393066
1772875639.1239815,1.312,1.108,0.758,3.6000375747680664
1772875639.2239723,1.313,1.109,0.774,3.700028419494629
1772875639.3247337,1.313,1.108,0.793,3.8007898330688477
1772875639.4240787,1.314,1.109,0.819,3.900134801864624
1772875639.5241756,1.316,1.109,0.852,4.000231742858887
1772875639.6241179,1.319,1.114,0.874,4.1001739501953125
1772875639.7240398,1.32,1.116,0.884,4.200095891952515
1772875639.8241637,1.321,1.117,0.868,4.300219774246216
1772875639.9241023,1.321,1.122,0.856,4.400158405303955
1772875640.0239449,1.321,1.129,0.84,4.500000953674316
1772875640.1239681,1.323,1.129,0.837,4.600024223327637
1772875640.2238162,1.323,1.134,0.855,4.699872255325317
1772875640.3237786,1.326,1.14,0.874,4.799834728240967
1772875640.4239688,1.327,1.142,0.877,4.900024890899658
1772875640.5245178,1.328,1.147,0.857,5.0005738735198975
1772875640.6238604,1.328,1.146,0.826,5.099916458129883
1772875640.7241654,1.331,1.146,0.809,5.200221538543701
1772875640.8241396,1.333,1.148,0.814,5.300195693969727
1772875640.924004,1.334,1.155,0.832,5.400060176849365
1772875641.0240037,1.334,1.156,0.856,5.5000598430633545
1772875641.1243489,1.335,1.162,0.889,5.600404977798462
1772875641.224171,1.337,1.165,0.885,5.7002270221710205
1772875641.3240669,1.336,1.164,0.853,5.800122976303101
1772875641.4240127,1.336,1.167,0.83,5.900068759918213
1772875641.5243165,1.336,1.169,0.829,6.000372648239136
1772875641.6239178,1.338,1.169,0.838,6.099973917007446
1772875641.7238097,1.338,1.171,0.844,6.199865818023682
1772875641.8238199,1.339,1.172,0.851,6.299875974655151
1772875641.924651,1.339,1.173,0.863,6.400707006454468
1772875642.0241978,1.343,1.175,0.879,6.500253915786743
1772875642.1241615,1.345,1.183,0.891,6.600217580795288
1772875642.2244074,1.346,1.191,0.881,6.700463533401489
1772875642.32416,1.348,1.198,0.858,6.800216197967529
1772875642.424084,1.348,1.204,0.843,6.900140047073364
1772875642.5238314,1.349,1.204,0.841,6.999887466430664
1772875642.6241753,1.35,1.203,0.857,7.100231409072876
1772875642.7247756,1.352,1.203,0.879,7.200831651687622
1772875642.8239672,1.355,1.206,0.902,7.300023317337036
1772875642.923943,1.355,1.211,0.922,7.399999141693115
1772875643.0239363,1.356,1.215,0.94,7.499992370605469
1772875643.1240487,1.357,1.214,0.955,7.600104808807373
1772875643.2250044,1.359,1.216,0.97,7.70106053352356
1772875643.324343,1.359,1.217,0.993,7.8003990650177
1772875643.4249005,1.358,1.225,1.016,7.900956630706787
1772875643.5246177,1.358,1.227,1.037,8.000673770904541
1772875643.624465,1.359,1.226,1.066,8.100521087646484
1772875643.7244067,1.362,1.232,1.095,8.200462818145752
1772875643.824312,1.363,1.239,1.11,8.300368070602417
1772875643.9243267,1.362,1.245,1.121,8.40038275718689
